Paper	Author	Hate Dislike Like Love	Impl Diff S M L	Disposition	Keywords	JOR Priority	Impact on Std	Links	Pub #	Brief Description
255	Craig	00 02 10 00	00 10 01	JoR	Decl		Medium			Construct Constant Arrays piecewise
256	Craig	06 06 01 00		No Action						Period as DT Delimiter
257	Craig	00 10 01 00		No Action						$ and \ Edit Descriptors
258	Craig	00 08 02 00		No Action						Q Edit Descriptor
259	Craig	00 02 09 00	07 03 00	JoR	I/O	0	Small			Field Justification format edit descriptor
260	Van			EM						Extended Module facility TR
261	Walt	04 08 00 00		No Action					120	Cray Pointers & malloc
262	Walt	05 08 00 00		No Action					121	Stride in Substring Indexes
263	Mike	00 10 01 01		No Action				cf 250		Unsigned Integers

	04-265r1 from Stan Whitlock 4-Mar-2004: JOR Priorities for F03+ New Features									

	"If column H == ""Small"", then col G is JOR's first attempt to prioritize:  ""t"" => trival to standardize & implement"									
	                                                                                                      0 .. 7 == number of JOR votes of most important									
	                                                                                                      4 or higher => should be pursued									
